,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
12945,707794230602397897,https://www.airbnb.com/rooms/707794230602397897,20241129051305,2024-11-30,previous scrape,hermoso apartamento reciclado,"Beautiful apartment in a historic building in the city of Buenos Aires. Recycled a new. Balconies and Windows in each room. In the heart of downtown Buenos Aires, with the obelisk 300 meters away, Testro Colon 100 meters away, Avenida Cordoba and Avenida Corrientes 300 meters away",,https://a0.muscache.com/pictures/72247d69-a253-48ce-b127-b755161a6126.jpg,477950521,https://www.airbnb.com/users/show/477950521,Victor Manuel,2022-09-03,"Buenos Aires, Argentina",,within an hour,1.0,0.0,f,https://a0.muscache.com/im/pictures/user/0a561e6b-e901-4d2e-9c7e-b0180a9baf9a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0a561e6b-e901-4d2e-9c7e-b0180a9baf9a.jpg?aki_policy=profile_x_medium,,1,1,['phone'],t,t,,San Nicolas,,-34.59964,-58.37882,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,"[""Exterior security cameras on property"", ""Wifi"", ""Kitchen"", ""TV"", ""Air conditioning""]",,1,365,1,1,365,365,1.0,365.0,,t,27,57,87,361,2024-11-30,3,0,0,2022-09-06,2022-09-08,3.67,3.33,2.67,3.67,3.33,5.0,3.67,,f,1,1,0,0,0.11
15728,810378691187393056,https://www.airbnb.com/rooms/810378691187393056,20241129051305,2024-11-30,previous scrape,Lindo y luminoso depto.,"Take a break and unwind in this peaceful oasis.<br />Two-room apartment , in the heart of NuÃ±ez, with all the comforts and access .",,https://a0.muscache.com/pictures/8b4d6d0e-140a-4d20-bf6b-0910ecaade6a.jpg,68158776,https://www.airbnb.com/users/show/68158776,Giselle Araceli,2016-04-20,"Buenos Aires, Argentina","Somos una pareja joven , vivimos a pocas cuadras del departamento. Muy dispuestos a resolver cualquier inquietud o consulta que pueda surgir. ",,,,f,https://a0.muscache.com/im/pictures/user/9c1ff5e0-94c8-407f-b0e5-e942d4ec6e37.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9c1ff5e0-94c8-407f-b0e5-e942d4ec6e37.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,,NuÃ±ez,,-34.5471373261302,-58.4600842371582,Entire rental unit,Entire home/apt,3,,1 bath,1.0,,"[""Wifi"", ""Kitchen"", ""Dryer"", ""TV"", ""Air conditioning"", ""Washer""]",,3,10,3,3,1125,1125,3.0,1125.0,,t,0,0,0,0,2024-11-30,1,0,0,2023-01-29,2023-01-29,4.0,4.0,2.0,4.0,5.0,4.0,4.0,,f,1,1,0,0,0.04
18163,884163995340591209,https://www.airbnb.com/rooms/884163995340591209,20241129051305,2024-11-29,city scrape,"Ãšnico 2 ambientes, terraza  y parrilla en NÃºÃ±ez","Come and relax in this bright 2 rooms, in the heart of the NuÃ±ez district. <br />With balcony to the street and its own terrace with grill.<br />Be aware that it is 1 first floor per staircase <br />No elevator <br /><br />A few meters from public transport and main avenues such as Avenida Cabildo and Avenida del Libertador. Only 2 blocks from Congressional Station on Subway ""D"" and Metrobus.","NÃºÃ±ez Buenos Aires is a neighborhood located in Comuna 13 in the north of the Autonomous City of Buenos Aires in Argentina. The neighborhood is known for owning a large number of followers from the River Plate Football Club, aka Los Millonarios.<br /><br />Today, NÃºÃ±ez is a relaxed residential neighborhood popular with families with small children and professional couples. With a good mix of contemporary apartment blocks, shopping streets, and residential homes, NÃºÃ±ez has a resemblance to the northern suburbs.",https://a0.muscache.com/pictures/miso/Hosting-884163995340591209/original/0d1f0a6e-de06-4957-b569-2cd9d6bf2c0c.jpeg,227799175,https://www.airbnb.com/users/show/227799175,Luciana,2018-11-27,"Buenos Aires, Argentina",,within an hour,1.0,1.0,f,https://a0.muscache.com/im/pictures/user/User-227799175/original/7d54df39-0f06-4aac-8602-0a036e0e8dd5.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-227799175/original/7d54df39-0f06-4aac-8602-0a036e0e8dd5.jpeg?aki_policy=profile_x_medium,,1,1,['phone'],t,t,"AXK, Buenos Aires, Argentina",NuÃ±ez,,-34.5500273,-58.4644418,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Exterior security cameras on property"", ""Host greets you"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Heating"", ""Private backyard \u2013 Not fully fenced"", ""Private patio or balcony"", ""Outdoor dining area"", ""TV"", ""Air conditioning"", ""Washer"", ""Refrigerator"", ""BBQ grill"", ""Outdoor furniture""]",45427.0,3,90,3,3,1125,1125,3.0,1125.0,,t,7,37,67,157,2024-11-29,1,1,0,2023-12-14,2023-12-14,4.0,4.0,2.0,5.0,5.0,4.0,4.0,,f,1,1,0,0,0.09
23121,1005199768144361194,https://www.airbnb.com/rooms/1005199768144361194,20241129051305,2024-11-29,city scrape,lindo departamento 3 ambientes cerca de river,"it is a nice apartment. amoblado, comfortable and familiar, very nice area near av. Libertador,  it is a temporary rental whose price is 85 dollars per night and I am a direct owner",,https://a0.muscache.com/pictures/9ddc35d7-a22f-4891-8931-48d6ce62179d.jpg,285172834,https://www.airbnb.com/users/show/285172834,Roman,2019-08-13,,soy abogado 48 anos vivo en nuÅˆez,within an hour,0.75,1.0,f,https://a0.muscache.com/im/pictures/user/9f33b6e9-faa1-4c0d-a1bf-2839fa53bb4a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9f33b6e9-faa1-4c0d-a1bf-2839fa53bb4a.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,NuÃ±ez,,-34.5475258,-58.4607769999999,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,3.0,"[""Wifi"", ""Kitchen"", ""Dedicated workspace"", ""TV"", ""Air conditioning""]",85807.0,2,365,2,2,365,365,2.0,365.0,,t,27,57,87,87,2024-11-29,3,1,0,2023-11-14,2023-12-09,3.67,4.0,2.67,4.67,4.67,4.67,4.0,,t,1,1,0,0,0.24
23911,1022406340420913700,https://www.airbnb.com/rooms/1022406340420913700,20241129051305,2024-11-30,city scrape,Mono balcÃ³n terraza,"Monoambient w/ balcony terrace  Dpto. Amoblado c/sommier Queen Size, dining set, wardrobe. Full bathroom Flat TV. Wifi,",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTAyMjQwNjM0MDQyMDkxMzcwMA%3D%3D/original/eeae8b75-6e36-460d-b910-675e3350c6bc.png,545930584,https://www.airbnb.com/users/show/545930584,Tigris,2023-11-10,,,a few days or more,0.03,0.19,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,Barrio Norte,7,8,['phone'],f,t,,Belgrano,,-34.5621215767986,-58.4582381514662,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""Smoking allowed"", ""Wifi"", ""Kitchen"", ""Pets allowed"", ""TV"", ""Air conditioning"", ""Washer""]",24228.0,1,365,1,1,365,365,1.0,365.0,,t,29,59,89,269,2024-11-30,4,2,0,2023-11-13,2023-12-17,3.25,3.25,2.5,3.5,3.25,3.25,3.25,,f,5,5,0,0,0.31
25032,1044968871322199097,https://www.airbnb.com/rooms/1044968871322199097,20241129051305,2024-12-01,city scrape,"Historic building, 2 bedrooms, terrace!",For 4 people. Two bedrooms (not fully enclosed). Fully equipped kitchen. Private terrace. Grill.<br />Use of facilities only for registered guests.<br />First floor accessible by stairs.,,https://a0.muscache.com/pictures/miso/Hosting-1044968871322199097/original/ac1b9430-461f-4d45-8195-41f71f864dd1.jpeg,550687326,https://www.airbnb.com/users/show/550687326,Mechita,2023-12-12,,,within an hour,1.0,1.0,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,1,1,['phone'],f,t,,San Telmo,,-34.6235806121895,-58.3719757950124,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Bed linens"", ""Wifi"", ""Essentials"", ""Pets allowed"", ""Outdoor dining area"", ""Coffee maker: pour-over coffee"", ""Smoking allowed"", ""Baking sheet"", ""Kitchen"", ""S\u00f3lo uno para la entrada, luego deben comprar body soap"", ""Hangers"", ""Microwave"", ""Air conditioning"", ""Extra pillows and blankets"", ""Refrigerator"", ""Clothing storage"", ""Oven"", ""Bidet"", ""Dishes and silverware"", ""Heating"", ""TV"", ""Hot water"", ""Gas stove"", ""Hot water kettle"", ""Portable fans"", ""Paid parking lot off premises"", ""Private patio or balcony"", ""Dining table""]",25379.0,4,365,4,4,365,365,4.0,365.0,,t,15,15,39,219,2024-12-01,3,3,0,2024-05-19,2024-08-24,3.33,3.67,2.33,4.0,4.0,4.33,3.67,,t,1,1,0,0,0.46
25131,1046578790658460432,https://www.airbnb.com/rooms/1046578790658460432,20241129051305,2024-12-01,city scrape,Departamento UbicaciÃ³n Privilegiada,"Experience simplicity and comfort in our quiet and central apartment.<br />- A price/quality gem.<br />- Strategically located just two blocks from the busy Avenidas Las Heras and Callao, as well as three blocks from the vibrant Avenida Santa Fe. Close to subways and groups.<br />- Large room with two twin beds and a sofa bed in living room.<br />- 4th with single bed and desk<br />-Full equipped, includes linens and towels<br />- AC and fan!",,https://a0.muscache.com/pictures/miso/Hosting-1046578790658460432/original/c92c43a9-43d8-40e0-bd99-eddb6428fd5b.jpeg,230654682,https://www.airbnb.com/users/show/230654682,Leandro,2018-12-14,"Salta, Argentina",,within a day,0.8,0.83,f,https://a0.muscache.com/im/pictures/user/12c595f9-49bd-41b3-9d66-24cde0ef4c2e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/12c595f9-49bd-41b3-9d66-24cde0ef4c2e.jpg?aki_policy=profile_x_medium,Barrio Norte,2,2,"['email', 'phone']",t,t,,Recoleta,,-34.5925702,-58.3946818,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Smoking allowed"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Heating"", ""Exercise equipment"", ""Paid parking on premises"", ""TV"", ""Air conditioning"", ""Pets allowed"", ""Hot water"", ""Washer"", ""Refrigerator"", ""Board games"", ""Fire extinguisher""]",35332.0,2,365,2,2,365,365,2.0,365.0,,t,0,0,0,214,2024-12-01,1,1,0,2024-02-20,2024-02-20,5.0,5.0,2.0,5.0,5.0,5.0,5.0,,t,2,2,0,0,0.1
25189,1047875358395491440,https://www.airbnb.com/rooms/1047875358395491440,20241129051305,2024-11-30,city scrape,Departamento con gran balcÃ³n,"Two-room apartment in Recoleta on the eighth floor with a large terrace balcony ideal for relaxing, just a few blocks from the most important points of Buenos Aires",,https://a0.muscache.com/pictures/792aab39-c45a-479a-9940-355820b1fd51.jpg,1409800,https://www.airbnb.com/users/show/1409800,Marian,2011-11-15,"Buenos Aires, Argentina","I'm a young entrepreneur who enjoys the pleasures of life. As a lawyer, artist, writer, scuba dive Instructor, snowboarder, I am driven by my curiosity and restless spirit that took me all around the world, to experience the cordiality and fellowship of many other cultures, that led me to venture into the lodging business, focused in hospitality and premium services; based on my own experiences and all the common expectations that people like me experienced when we are thrown into the adventure of traveling._x000D_
 ",within an hour,0.96,0.99,,https://a0.muscache.com/im/pictures/user/User-1409800/original/11f59c0c-f9db-48da-ba9c-72573e19d3c9.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-1409800/original/11f59c0c-f9db-48da-ba9c-72573e19d3c9.jpeg?aki_policy=profile_x_medium,Palermo,93,180,"['email', 'phone']",t,t,,Recoleta,,-34.59786,-58.40566,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Bed linens"", ""Cooking basics"", ""Host greets you"", ""Wifi"", ""Kitchen"", ""Dishes and silverware"", ""Essentials"", ""Heating"", ""Elevator"", ""Long term stays allowed"", ""Hangers"", ""Air conditioning"", ""Hot water"", ""Patio or balcony"", ""Hair dryer""]",45427.0,1,365,1,1,365,365,1.0,365.0,,t,29,59,89,269,2024-11-30,3,3,0,2024-01-01,2024-10-26,3.33,3.0,2.67,3.33,3.33,3.33,3.0,,t,48,40,8,0,0.27
27030,1082539009696145422,https://www.airbnb.com/rooms/1082539009696145422,20241129051305,2024-12-01,city scrape,Departamento Ãºnico en Palermo.,"Enjoy a stylish experience at this unique accommodation.<br />Experience luxury and exclusivity in this apartment in Palermo. Located from Shooping Alto Palermo. This space combines superior design and absolute comfort. Watch majestic sunsets from a dream balcony Surrounded by high-end boutiques, select bars, and unique art, and equipped with high-speed Wi-Fi, this is your luxury retreat in Buenos Aires.","This is a residential and recreational neighborhood. Within its limits are the so-called ""Forests of Palermo"", which include extensive parks and green spaces. It is an important gastronomic, cultural and audiovisual center and is one of the favorite destinations for tourists visiting the City.",https://a0.muscache.com/pictures/miso/Hosting-1082539009696145422/original/d049075b-51bf-460d-b1a9-bbfe7a832796.jpeg,499485701,https://www.airbnb.com/users/show/499485701,Nicole,2023-02-04,,,within an hour,0.98,0.99,f,https://a0.muscache.com/im/pictures/user/User-499485701/original/0a87bce2-6bc5-4509-b152-de4832d74f1b.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-499485701/original/0a87bce2-6bc5-4509-b152-de4832d74f1b.jpeg?aki_policy=profile_x_medium,,31,38,"['email', 'phone']",t,f,"Buenos Aires, Argentina",Palermo,,-34.590118663589,-58.4140579948872,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,0.0,"[""Wifi"", ""Essentials"", ""Hair dryer"", ""Stove"", ""Kitchen"", ""Elevator"", ""Body soap"", ""Air conditioning"", ""Refrigerator"", ""Patio or balcony"", ""Bidet"", ""Heating"", ""TV"", ""Hot water"", ""Shampoo"", ""Hot water kettle"", ""Bathtub"", ""Conditioner"", ""Cleaning products""]",22300.0,1,365,1,1,1,999,1.0,140.4,,t,13,20,23,192,2024-12-01,2,2,0,2024-03-03,2024-09-29,3.5,3.5,2.5,3.0,3.5,4.5,3.5,,t,30,30,0,0,0.22
27354,1089252057086056780,https://www.airbnb.com/rooms/1089252057086056780,20241129051305,2024-11-29,city scrape,Departamento amplio y luminoso,"The apartment is located in the elegant neighborhood of Caballito. Easy access to any point of the city. An apartment with large windows which makes it super bright. It has a room with a king size 2x2 bed, portable air conditioning and fan, living room and work area, equipped kitchen and bathroom. A place with very good energy :)",,https://a0.muscache.com/pictures/hosting/Hosting-1089252057086056780/original/aa701039-a1ba-4d6d-89ea-7903b44c1ce9.jpeg,560774818,https://www.airbnb.com/users/show/560774818,Alejandro,2024-02-06,,,a few days or more,0.25,0.25,f,https://a0.muscache.com/im/pictures/user/User-560774818/original/e62b4481-6ddc-4fb1-8bc6-8304d8484374.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-560774818/original/e62b4481-6ddc-4fb1-8bc6-8304d8484374.jpeg?aki_policy=profile_x_medium,,1,1,['phone'],t,t,,Caballito,,-34.6256474,-58.4368878999999,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Dedicated workspace"", ""Kitchen"", ""Air conditioning"", ""Wifi""]",19180.0,3,20,3,3,20,20,3.0,20.0,,t,16,33,63,63,2024-11-29,1,1,0,2024-03-16,2024-03-16,5.0,5.0,2.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.12
27952,1101667064464257340,https://www.airbnb.com/rooms/1101667064464257340,20241129051305,2024-11-30,city scrape,Apartamento libertador Palermo,"I brought the whole family to this great place with plenty of space for fun. In one of the best areas, safe and close to everything, in front of the racecourse , close to the planetarium, the Japanese garden, Chinatown, forests of Palermo, the Rural and much more",,https://a0.muscache.com/pictures/hosting/Hosting-1101667064464257340/original/22e50587-9af9-4336-b210-e749ab75b8ec.jpeg,490374133,https://www.airbnb.com/users/show/490374133,Jonathan Daniel,2022-12-05,,,within a few hours,0.67,0.93,f,https://a0.muscache.com/im/pictures/user/User-490374133/original/26af0e88-dcd8-4342-91b7-1ece9d124b15.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-490374133/original/26af0e88-dcd8-4342-91b7-1ece9d124b15.jpeg?aki_policy=profile_x_medium,,2,5,['phone'],t,t,,Palermo,,-34.56708,-58.43138,Entire rental unit,Entire home/apt,6,2.0,2 baths,2.0,5.0,"[""Wifi"", ""Kitchen"", ""Body soap"", ""TV"", ""Air conditioning"", ""Hot water"", ""Shower gel"", ""Shampoo"", ""Hair dryer""]",88260.0,1,365,1,1,365,365,1.0,365.0,,t,29,59,89,269,2024-11-30,3,3,0,2024-04-02,2024-08-25,3.33,3.33,2.67,3.67,3.67,3.67,3.33,,t,2,2,0,0,0.37
28878,1122026934931169796,https://www.airbnb.com/rooms/1122026934931169796,20241129051305,2024-11-30,city scrape,Depto en lo mejor de Palermo!,Enjoy a stylish experience at this central home.,,https://a0.muscache.com/pictures/prohost-api/Hosting-1122026934931169796/original/65a831cd-feb5-4633-9b5d-362f4831c57c.jpeg,112588481,https://www.airbnb.com/users/show/112588481,Julieta,2017-01-21,"Buenos Aires, Argentina","Hola q tal? Soy Julieta zafran y me dedico a Real state, venta , alquileres y alquileres temporales. Administro propiedades de otras personas para alquileres temporales .Me apasiona mi trabajo y dar lo mejor de mÃ­ a mis clientes .",within a few hours,1.0,0.83,t,https://a0.muscache.com/im/pictures/user/User-112588481/original/0e5d7733-915d-4b42-be22-abe257896f49.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-112588481/original/0e5d7733-915d-4b42-be22-abe257896f49.jpeg?aki_policy=profile_x_medium,Barrio Norte,6,13,"['email', 'phone', 'work_email']",t,t,,Palermo,,-34.5777256,-58.4362636,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Wifi"", ""Kitchen"", ""Smoke alarm"", ""Dedicated workspace"", ""TV"", ""Air conditioning"", ""Washer"", ""BBQ grill"", ""Fire extinguisher"", ""Pool""]",50475.0,1,365,4,4,365,365,4.0,365.0,,t,0,0,0,237,2024-11-30,1,1,0,2024-06-19,2024-06-19,4.0,5.0,2.0,5.0,4.0,5.0,5.0,,f,6,6,0,0,0.18
29418,1135643208548026499,https://www.airbnb.com/rooms/1135643208548026499,20241129051305,2024-11-30,city scrape,Mono ambiente grande.,"This stylish accommodation is ideal for tourists. It is excellently well located (a few blocks from the obelisk, 1 block from the best pizzeria - El quartito-).<br />Good value for money.",,https://a0.muscache.com/pictures/hosting/Hosting-1135643208548026499/original/e28fc9af-25ad-4dd0-a658-2c3094955d76.jpeg,572507430,https://www.airbnb.com/users/show/572507430,Francisco,2024-04-15,"Buenos Aires, Argentina","Hola, Â¡Bienvenido! Gracias de antemano por leerme.
( PodÃ©s ver las calificaciones de Booking. AcÃ¡ son injustos a veces).
FotÃ³grafo.
Me gusta viajar!! El arte, la astronomÃ­a, la literatura. Los deportes y la espiritualidad.
El departamento es un monoambiente grande dividido en dos.

Trabajo como fotÃ³grafo de retratos. Si tenÃ©s interÃ©s en tener fotos de calidad profesional por algÃºn lugar de esta gran ciudad, me podÃ©s decir. 20USD varias",,,1.0,f,https://a0.muscache.com/im/pictures/user/User-572507430/original/a42949f8-d296-44d2-8c88-290a96e3337a.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-572507430/original/a42949f8-d296-44d2-8c88-290a96e3337a.jpeg?aki_policy=profile_x_medium,Barrio Norte,1,1,"['email', 'phone']",t,t,,Retiro,,-34.5986378,-58.3854161999999,Shared room in rental unit,Shared room,1,1.0,1 shared bath,2.0,1.0,"[""Clothing storage"", ""Bed linens"", ""Smoking allowed"", ""Wifi"", ""Kitchen"", ""Heating"", ""Room-darkening shades"", ""Hangers"", ""Pets allowed"", ""Dedicated workspace"", ""Air conditioning""]",16717.0,1,365,1,1,365,365,1.0,365.0,,t,0,0,0,153,2024-11-30,2,2,0,2024-06-25,2024-08-25,3.5,3.5,2.5,4.5,4.5,4.5,4.5,,t,1,0,0,1,0.38
29694,1142788915674162661,https://www.airbnb.com/rooms/1142788915674162661,20241129051305,2024-11-30,city scrape,Elegante departamento en Palermo,"Enjoy a stylish experience at this centrally located home.<br />Very well connected, close to all means of transportation",,https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE0Mjc4ODkxNTY3NDE2MjY2MQ%3D%3D/original/5a884468-8029-4881-b4fa-db30240b570c.jpeg,241549112,https://www.airbnb.com/users/show/241549112,Leticia,2019-02-06,"Henderson, NV",,within a few hours,1.0,1.0,f,https://a0.muscache.com/im/pictures/user/0df621fd-ec59-4b10-976f-1e64af0d46bd.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0df621fd-ec59-4b10-976f-1e64af0d46bd.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Palermo,,-34.5795,-58.42568,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,0.0,"[""Kitchen"", ""Wifi"", ""Pets allowed"", ""TV"", ""Ceiling fan""]",32304.0,5,365,5,5,365,365,5.0,365.0,,t,0,0,0,177,2024-11-30,3,3,0,2024-08-22,2024-09-24,3.67,3.67,2.67,5.0,5.0,5.0,4.0,,f,1,1,0,0,0.89
